Sample label,Sample name,Location,Source type,Reservoir temperature (°C),pH,EC (microS/cm),K (mg/l),Na (mg/l),Boron (mg/l),SiO2 (mg/l),Cl (mg/l),Temperature source,Dataset,Geothermometry
1,Derman,Balikesir,Thermal spring,103.0,8.8,1160.0,4.0,227.0,1.4,50.0,62.0,Calculated,Training,102.55691938323645
2,Gönen,Balikesir,Thermal spring,146.0,8.5,2000.0,21.0,430.0,7.1,132.0,265.0,Calculated,Training,146.20004905766638
3,Samli,Balikesir,Thermal spring,107.0,9.0,1440.0,4.0,230.0,2.0,56.0,845.0,Calculated,Training,107.17771411330835
4,Bozören,Balikesir,Thermal spring,67.0,7.2,960.0,4.0,40.0,0.15,19.0,33.0,Calculated,Training,67.24725485143034
5,Gümeli,Balikesir,Thermal spring,88.0,7.5,580.0,5.0,23.0,0.2,34.0,13.0,Calculated,Training,87.63994748862928
6,Kaynarca,Bursa,Thermal spring,91.0,6.9,1349.0,18.0,198.0,1.8,38.0,8.0,Calculated,Training,91.81906941453695
7,Zeynine,Bursa,Thermal spring,87.0,7.1,558.0,5.0,36.0,0.0,33.0,7.0,Calculated,Training,86.53451233798421
8,Dümbüldek,Bursa,Thermal spring,131.0,6.8,1900.0,72.0,440.0,1.7,96.0,62.0,Calculated,Training,130.806891309842
9,Esref Efendi,Bursa,Thermal spring,126.0,7.0,1215.0,15.0,168.0,1.9,87.0,9.0,Calculated,Training,126.27466604665062
10,Küplüce,Bursa,Thermal spring,87.0,7.1,582.0,4.0,25.0,0.2,34.0,3.0,Calculated,Training,87.63994748862928
11,Zeynine2,Bursa,Thermal spring,90.0,7.0,557.0,4.0,23.0,0.3,36.0,3.0,Calculated,Training,89.77555680958591
12,Horhor,Bursa,Thermal spring,88.0,7.1,568.0,4.0,24.0,0.2,34.0,3.0,Calculated,Training,87.63994748862928
13,Karacakaya,Bursa,Thermal spring,50.0,6.9,400.0,2.0,20.0,0.0,11.0,5.0,Calculated,Training,50.08782771236349
14,Ilicaksu,Bursa,Thermal spring,91.0,7.4,490.0,3.0,24.0,0.0,37.0,9.0,Calculated,Training,90.8082542178999
15,Sadag,Bursa,Thermal spring,118.0,7.1,1500.0,7.0,220.0,0.0,72.0,29.0,Unknown,Training,117.84152409103945
16,Agaçhisar,Bursa,Thermal spring,85.0,6.7,1250.0,3.0,15.0,0.0,32.0,10.0,Calculated,Training,85.40212604133393
17,Küçütçetmi,Çanakkale,Thermal spring,102.0,7.2,800.0,2.0,134.0,0.2,49.0,27.0,Calculated,Training,101.74495305741016
18,Topraklar,Çanakkale,Thermal spring,91.0,8.3,1700.0,5.0,320.0,1.3,38.0,81.0,Calculated,Training,91.81906941453695
19,Çan,Çanakkale,Thermal spring,73.0,8.1,3300.0,24.0,550.0,5.0,23.0,234.0,Calculated,Training,73.68354703751277
20,Etili,Çanakkale,Thermal spring,57.0,7.4,1900.0,15.0,590.0,0.0,14.0,93.0,Calculated,Training,57.44129615135154
21,Tekkehamam,Denizli,Thermal spring,171.0,7.9,3700.0,64.0,530.0,0.0,210.0,90.0,Calculated,Training,170.86906973271647
22,SP1,Denizli,Thermal spring,185.0,6.9,4870.0,94.0,865.0,17.0,270.0,95.0,Unknown,Training,185.4721242215458
23,SP2,Denizli,Thermal spring,154.0,7.9,3680.0,114.0,870.0,11.0,155.0,85.0,Calculated,Training,154.41792794926295
24,SP3,Denizli,Thermal spring,183.0,6.9,3000.0,86.0,686.0,16.0,259.0,78.0,Calculated,Training,182.98926705673125
25,SP4,Denizli,Thermal spring,154.0,6.5,3980.0,75.0,586.0,10.0,154.0,73.0,Calculated,Training,154.08055510862164
26,SP6,Denizli,Thermal spring,159.0,6.4,4730.0,50.0,535.0,9.0,170.0,134.0,Calculated,Training,159.291514841155
27,SP8,Denizli,Thermal spring,146.0,6.2,3850.0,65.0,583.0,8.6,132.0,145.0,Calculated,Training,146.20004905766638
28,In magarasi,Denizli,Thermal spring,206.0,6.5,4401.0,73.0,564.0,13.0,375.0,87.0,Calculated,Training,206.0738615369077
29,Yenicehamami,Denizli,Thermal spring,133.0,5.8,1950.0,42.0,260.0,3.2,100.0,34.0,Calculated,Training,132.7166666666667
30,Gölemezli,Denizli,Thermal spring,156.0,6.3,2700.0,56.0,540.0,7.5,160.0,90.0,Calculated,Training,156.08054151730835
31,Karahayit,Denizli,Thermal spring,106.0,6.3,2880.0,21.0,120.0,2.2,55.0,29.0,Calculated,Training,106.43545427841264
32,Pamukkale Mis,Denizli,Thermal spring,97.0,7.7,2500.0,22.0,130.0,2.7,43.0,34.0,Calculated,Training,96.57873487704319
33,Pamukkale Kayna,Denizli,Thermal spring,106.0,6.2,2340.0,48.0,38.0,0.9,55.0,15.0,Calculated,Training,106.43545427841264
34,Babacik,Denizli,Thermal spring,148.0,6.2,3120.0,113.0,860.0,9.2,136.0,93.0,Unknown,Training,147.70341482662008
35,Balçova,Ízmir,Thermal spring,133.0,8.1,1388.0,41.0,239.0,8.5,100.0,142.0,Calculated,Training,132.7166666666667
35,Doganbey,Izmir,Thermal spring,102.0,7.6,10330.0,155.0,1810.0,9.4,49.0,3150.0,Calculated,Training,101.74495305741016
36,Dikili Çoban,Ízmir,Thermal spring,125.0,9.1,2590.0,33.0,575.0,9.0,85.0,98.0,Calculated,Training,125.21872203649076
37,Dikili Kocaoba,Izmir,Thermal spring,122.0,8.7,2360.0,11.0,310.0,0.4,80.0,43.0,Calculated,Training,122.49221540235249
38,Dikili Güzellik,Ízmir,Thermal spring,103.0,8.9,3600.0,5.0,375.0,1.0,51.0,37.0,Calculated,Training,103.3562267749769
39,Bayindir,Ízmir,Thermal spring,109.0,6.7,970.0,9.0,240.0,0.7,58.0,18.0,Calculated,Training,108.63164035227453
40,Urganli,Manisa,Thermal spring,111.0,8.4,1650.0,46.0,520.0,8.9,62.0,71.0,Calculated,Training,111.42570345233099
41,Urganli Uyuz,Manisa,Thermal spring,113.0,8.0,1755.0,48.0,560.0,7.4,64.0,71.0,Calculated,Training,112.77024736419395
42,Urganli Kuru,Manisa,Thermal spring,94.0,8.4,1770.0,48.0,540.0,8.7,40.0,76.0,Calculated,Training,93.77912549795246
43,Urganli Garkin,Manisa,Thermal spring,105.0,7.0,2260.0,65.0,503.0,13.6,53.0,62.0,Calculated,Training,104.91862832627106
44,Sart,Manisa,Thermal spring,118.0,7.6,907.0,24.0,198.0,16.0,72.0,37.0,Calculated,Training,117.84152409103945
45,Sarikiz,Manisa,Thermal spring,79.0,8.0,1558.0,13.0,240.0,17.4,27.0,58.0,Calculated,Training,79.27607084354383
46,Saraycik,Manisa,Thermal spring,153.0,7.2,3800.0,106.0,1020.0,11.0,150.0,127.0,Calculated,Training,152.71425964470723
47,Bozöyük,Mugla,Thermal spring,115.0,7.9,1400.0,19.0,148.0,0.7,68.0,38.0,Calculated,Training,115.36396623123164
48,KD42,Denizli,Well,244.0,8.5,5480.0,191.0,1464.0,30.0,460.0,144.0,Measured,Training,219.84663486684315
49,KD46,Denizli,Well,181.0,8.2,5090.0,99.0,1332.0,19.0,261.0,212.0,Measured,Training,183.44641672331858
50,KD45,Denizli,Well,232.0,7.9,5770.0,140.0,1513.0,33.0,492.0,212.0,Measured,Training,224.55524246709217
51,KD50,Denizli,Well,218.0,7.3,5370.0,140.0,1389.0,29.0,444.0,248.0,Measured,Training,217.4036150093997
52,KD55,Denizli,Well,236.0,7.5,5890.0,140.0,1508.0,31.0,503.0,326.0,Measured,Training,226.12306646132407
53,KD15,Denizli,Well,206.0,8.7,4790.0,118.0,1225.0,19.0,257.0,99.0,Measured,Training,182.52949870452977
54,KD16,Denizli,Well,209.0,8.6,4840.0,125.0,1240.0,19.0,258.0,99.0,Measured,Training,182.75971247904096
55,KD20,Denizli,Well,204.0,8.8,4950.0,128.0,1273.0,20.0,310.0,101.0,Measured,Training,193.91625805024046
56,KD21,Denizli,Well,205.0,8.1,4490.0,108.0,1149.0,14.0,263.0,85.0,Measured,Training,183.90098342454235
57,R3,Denizli,Well,190.0,8.1,4640.0,78.0,1229.0,15.0,219.0,121.0,Measured,Training,173.24244853692437
58,KD23B,Denizli,Well,245.0,7.2,5440.0,179.0,1415.0,25.0,434.0,118.0,Measured,Training,215.84437037411624
59,KD23D,Denizli,Well,238.0,7.1,5250.0,175.0,1341.0,25.0,431.0,109.0,Measured,Training,215.37155223355438
60,KD18A,Denizli,Well,215.0,7.0,4920.0,154.0,1254.0,24.0,351.0,101.0,Measured,Training,201.77850494975326
61,KD2A,Denizli,Well,237.0,7.4,4990.0,159.0,1239.0,24.0,450.0,103.0,Measured,Training,218.32705703741874
62,KD9A,Denizli,Well,225.0,7.0,4910.0,154.0,1269.0,26.0,381.0,101.0,Measured,Training,207.11632008324807
64,R1A,Denizli,Well,231.0,7.6,4360.0,118.0,1099.0,20.0,290.0,89.0,Measured,Training,189.80141535603116
65,R1,Denizli,Well,220.0,7.6,4990.0,153.0,1318.0,23.0,405.0,102.0,Measured,Training,211.170832714678
66,R3A,Denizli,Well,243.0,7.2,5330.0,182.0,1417.0,29.0,455.0,113.0,Measured,Training,219.08984795885004
67,Ìmamköy,Aydin,Thermal spring,97.0,7.4,1772.0,84.0,51.0,0.0,43.0,25.0,Measured,Validation,96.57873487704319
68,Güre,Balikesir,Thermal spring,92.0,9.1,1300.0,5.5,265.0,2.7,38.0,71.0,Measured,Validation,91.81906941453695
69,Ayvalik Ilica,Balikesir,Thermal spring,83.0,8.7,1000.0,0.8,2.6,0.5,30.0,59.0,Measured,Validation,83.05013829813089
70,Sindirgi,Balikesir,Thermal spring,53.0,7.6,350.0,0.8,10.0,0.5,12.0,10.0,Measured,Validation,52.70293503673361
71,Kükürtlü,Bursa,Thermal spring,94.0,7.3,816.0,18.0,194.0,1.9,40.0,8.0,Measured,Validation,93.77912549795246
72,Oylat,Bursa,Thermal spring,96.0,7.6,1450.0,4.3,23.5,0.0,42.0,14.0,Measured,Validation,95.66316733250193
73,Hidirlar,Çanakkale,Thermal spring,103.0,8.1,700.0,4.0,110.0,0.7,51.0,19.0,Measured,Validation,103.3562267749769
74,SP9,Denizli,Thermal spring,164.0,6.6,4120.0,75.0,564.0,10.0,184.0,98.0,Measured,Validation,163.55600924347738
75,Tekkehamam2,Denizli,Thermal spring,156.0,7.7,3800.0,99.0,984.0,20.0,160.0,97.0,Measured,Validation,156.08054151730835
76,Kükürtlü,Manisa,Thermal spring,83.0,7.1,1880.0,8.0,98.0,7.6,30.0,31.0,Measured,Validation,83.05013829813089
77,Tekkeköy,Denizli,Thermal spring,183.0,7.6,4500.0,95.0,995.0,12.0,251.0,90.0,Measured,Validation,181.13411249330977
78,KD54,Denizli,Well,225.0,7.2,5090.0,140.0,1225.0,38.0,426.0,180.0,Measured,Validation,214.57821949409663
79,KD14,Denizli,Well,208.0,8.9,4890.0,129.0,1257.0,20.0,292.0,100.0,Measured,Validation,190.22211649496404
80,KD22,Denizli,Well,201.0,8.3,4750.0,126.0,1225.0,17.0,258.0,92.0,Measured,Validation,182.75971247904096
81,R6,Denizli,Well,207.0,8.4,4590.0,117.0,1258.0,21.0,249.0,94.0,Measured,Validation,180.6634962440317
82,R5A,Denizli,Well,230.0,7.5,4680.0,131.0,1232.0,22.0,650.0,95.0,Measured,Validation,245.05057928571216
83,K5,Denizli,Thermal spring,190.0,7.5,4500.0,74.0,1126.0,12.0,191.0,90.0,Measured,Validation,165.5973738230938
