"Ormsby Filter: 5-10-40-45(Hz)","Time (ms)","AI Model Trace","AI Filtered Trace","RC Model Trace","RC Filtered Trace","Impulse Trace","Filter Impulse Response","DFT Window"
" ",-13,1,-0.0026120584962251,0,0.00077887097123752,0,-4.6391928623553E-5,0
" ",-9,1,-0.0018008495413042,0,0.00056422955709169,0,-0.00084769597766027,0
" ",-5,1,-0.001444967980839,0,7.6329635280119E-5,0,-0.0015544456876692,0
" ",-0.99999999999997,1,-0.0015015091633036,0,-9.2165070211493E-5,0,-0.0012935084896991,0
" ",3,1,-0.0014793089945539,0,0.00017937510213457,0,-0.00038651099642642,1
" ",7,1,-0.0010937821675784,0,0.00046059443744705,0,0.00021661263181247,1
" ",11,1,-0.00059406077891984,0,0.00035363958830817,0,0.00016541835209549,1
" ",15,1,-0.00039918814092916,0,-1.5730705087455E-5,0,4.7095896922264E-17,1
" ",19,1,-0.00056282667934679,0,-0.00022090428640699,0,0.0001838638843557,1
" ",23,1,-0.00079179099716901,0,-0.00016536970863388,0,0.00026763593092371,1
" ",27,1,-0.00099117835836349,0,-0.00025413932961994,0,-0.00053093439245889,1
" ",31,1,-0.0015489643534392,0,-0.00080436924901131,0,-0.0019759353557822,1
" ",35,1,-0.0028447416133327,0,-0.0014410381464832,0,-0.0026414694874422,1
" ",39,1,-0.004532801541876,0,-0.0013901898783048,0,-0.0016030815429327,1
" ",43,1,-0.0056472838146996,0,-0.00049510025551318,0,-9.7683159747582E-5,1
" ",47,1,-0.0056816940827721,0,0.0003060969297712,0,-0.00068623577414545,1
" ",51,1,-0.0054293870014601,0,-0.00010016869138963,0,-0.0041940312900595,1
" ",55,1,-0.0063099905703005,0,-0.0015161363025566,0,-0.0078708080694479,1
" ",59,1,-0.0085805172735157,0,-0.0022213324070771,0,-0.0076490648030162,1
" ",63,1,-0.010455583452514,0,-0.00070800475001289,0,-0.0028383529770986,1
" ",67,1,-0.0095771934914373,0,0.0023240492051235,0,0.0020411269990028,1
" ",71,1,-0.0056606834056631,0,0.0041904533970036,0,0.0014075182313998,1
" ",75,1,-0.0013284381316375,0,0.0029778792349129,0,-0.0048043454761908,1
" ",79,1,0.000380778042467,0,6.179617210096E-5,0,-0.0095984231541071,1
" ",83,1,-0.00038133437962774,0,-0.00076294625437091,0,-0.0055285580167806,1
" ",87,1,0.00034284939782405,0,0.0027122590282672,0,0.0065649824102068,1
" ",91,1,0.0064887023527826,0,0.0080718296427111,0,0.016642490296852,1
" ",95,1,0.017244686654641,0,0.010049549815391,0,0.015174860139185,1
" ",99,1,0.026822088311094,0,0.0060460544691597,0,0.0042938635800104,1
" ",103,1,0.029945471100483,0,-0.00032573668404328,0,-0.0023831828668457,1
" ",107,1,0.027829019772552,0,-0.0022157960945841,0,0.0066757769175421,1
" ",111,1,0.027789926367783,0,0.0031456477647996,0,0.027072613554734,1
" ",115,1,0.03570304129594,0,0.010431900235265,0,0.040306961510636,1
" ",119,1,0.048626840406179,0,0.010764116361113,0,0.032125253967951,1
" ",123,1,0.056111118953433,0,0.001186963140648,0,0.009405033497532,1
" ",127,1,0.050315896697987,0,-0.010863606091116,0,-0.0039903767947553,1
" ",131,1,0.03503473601647,0,-0.014092937392314,0,0.0085584998671383,1
" ",135,1,0.023187686094719,0,-0.0054181788894905,0,0.036084004397936,1
" ",139,1,0.023569839479095,0,0.0051054443935234,0,0.047344467589737,1
" ",143,1,0.029915046499185,0,0.0033040418495938,0,0.022421495498665,1
" ",147,1,0.025008150576014,0,-0.013858446893619,0,-0.022765426848197,1
" ",151,1,-0.0020808913041084,0,-0.032777194224612,0,-0.047899216379444,1
" ",155,1,-0.042555781386793,0,-0.03527297128087,0,-0.029234562444779,1
" ",159,1,-0.073874568833814,0,-0.017883026993799,0,0.010520437322354,1
" ",163,1,-0.082011095712431,0,0.0016387282092141,0,0.018904537582064,1
" ",167,1,-0.078432709965547,0,-9.3723207928472E-5,0,-0.032917575219885,1
" ",171,1,-0.092311730280918,0,-0.02761584282235,0,-0.11249105028078,1
" ",175,1,-0.14195205318619,0,-0.0580343282368,0,-0.14905564556624,1
" ",179,1,-0.21218283865491,0,-0.059863006318766,0,-0.10423266265208,1
" ",183,1,-0.262112030913,0,-0.023356486415599,0,-0.022919311938075,1
" ",187,1,-0.25917022481128,0,0.027856642087944,0,-0.0045199427882463,1
" ",191,1,-0.20741122739832,0,0.058321264507591,0,-0.10698902795041,1
" ",195,1,-0.14013728299263,0,0.056910988968222,0,-0.26876229339749,1
" ",199,1,-0.080877423284674,0.33333333333333,0.051061962377942,0,-0.33228806411961,1
" ",203,2,-0.011253264674244,-0.33333333333333,0.080378595707418,0,-0.16776595662196,1
" ",207,1,0.1166402196736,0.33333333333333,0.15068174823048,0,0.20095472612264,1
" ",211,2,0.32615981198226,0,0.21334563426814,1,0.58277772445864,1
" ",215,2,0.56751502471919,0,0.19647390787114,0,0.74468085106383,1
" ",219,2,0.72608004557106,0,0.067294819197375,0,0.58277772445864,1
" ",223,2,0.69370510565841,0,-0.12791333481121,0,0.20095472612264,1
" ",227,2,0.45169817056451,-0.33333333333333,-0.28590129390189,0,-0.16776595662197,1
" ",231,1,0.097095938268497,0,-0.31812575472137,0,-0.33228806411961,1
" ",235,1,-0.21408297531595,0,-0.21538241725628,0,-0.2687622933975,1
" ",239,1,-0.36588857319672,0,-0.052614628183025,0,-0.10698902795041,1
" ",243,1,-0.34880873347601,0,0.069281999705727,0,-0.0045199427882464,1
" ",247,1,-0.24642479412457,0,0.09601880164773,0,-0.022919311938076,1
" ",251,1,-0.16044518443361,0,0.049199723460186,0,-0.10423266265208,1
" ",255,1,-0.13816689183873,0,-0.0055259489165858,0,-0.14905564556624,1
" ",259,1,-0.15625546989141,0,-0.017863424257076,0,-0.11249105028078,1
" ",263,1,-0.16211997170078,0,0.011901992089244,0,-0.032917575219884,1
" ",267,1,-0.12780978685065,0,0.046110904766157,0,0.018904537582064,1
" ",271,1,-0.06949625182483,0,0.051267644940708,0,0.010520437322354,1
" ",275,1,-0.023554843342223,0,0.027091786099595,0,-0.029234562444779,1
" ",279,1,-0.0093711609539684,0,0.00014341558589575,0,-0.047899216379444,1
" ",283,1,-0.014931162805154,0,-0.0056658923135761,0,-0.022765426848196,1
" ",287,1,-0.01408453436174,0,0.0092504715589103,0,0.022421495498665,1
" ",291,1,0.0061543217833192,0,0.024862995281904,0,0.047344467589737,1
" ",295,1,0.035464204785576,0,0.023797740059381,0,0.036084004397936,1
" ",299,1,0.053883912450758,0,0.0074292622232907,0,0.0085584998671383,1
" ",303,1,0.052480051253583,0,-0.0083840928855345,0,-0.0039903767947555,1
" ",307,1,0.040269736446213,0,-0.010669797846378,0,0.0094050334975321,1
" ",311,1,0.032962902597915,0,-0.0012448085247997,0,0.032125253967952,1
" ",315,1,0.037109982387642,0,0.0073709755958246,0,0.040306961510637,1
" ",319,1,0.045540363138773,0,0.0056613479052872,0,0.027072613554733,1
" ",323,1,0.046709370194582,0,-0.0041954824083346,0,0.0066757769175413,1
" ",327,1,0.03680145174542,0,-0.012245505085304,0,-0.0023831828668467,1
" ",331,1,0.022498041862917,0,-0.011569057843686,0,0.0042938635800098,1
" ",335,1,0.013190403561465,0,-0.0044801398398783,0,0.015174860139185,1
" ",339,1,0.011800830045354,0,0.0011568388965003,0,0.016642490296853,1
" ",343,1,0.013281695139721,0,0.00037053949756722,0,0.0065649824102072,1
" ",347,1,0.01099281586186,0,-0.0046472815029199,0,-0.0055285580167805,1
" ",351,1,0.0035014248096318,0,-0.0078997505099713,0,-0.0095984231541071,1
" ",355,1,-0.0048322837722708,0,-0.0060501814365371,0,-0.0048043454761911,1
" ",359,1,-0.0089851067139064,0,-0.0011986620267129,0,0.0014075182313987,1
" ",363,1,-0.0081606444432559,0,0.0020866998197734,0,0.0020411269990026,1
" ",367,1,-0.0057588919701692,0,0.0015852205840113,0,-0.0028383529770985,1
" ",371,1,-0.0053596653411548,0,-0.00092530698401007,0,-0.0076490648030156,1
" ",375,1,-0.0073493077397706,0,-0.0021920833259653,0,-0.0078708080694475,1
" ",379,1,-0.0093116526595385,0,-0.00092318057709564,0,-0.0041940312900592,1
" ",383,1,-0.0090291240425186,0,0.0013922957389225,0,-0.00068623577414541,1
" ",387,1,-0.006634340391189,0,0.0025370388833157,0,-9.7683159747832E-5,1
" ",391,1,-0.0040146292578303,0,0.0018645802398766,0,-0.0016030815429327,1
" ",395,1,-0.0026781266601171,0,0.0005325740194707,0,-0.0026414694874424,1
" ",399,1,-0.002524326287111,0,-7.7459876549631E-5,0,-0.0019759353557822,1
" ",403,1,-0.0024832315667812,0,0.00025754967656472,0,-0.0005309343924591,0
" ",407,1,-0.0018853604659899,0,0.00075295842912791,0,0.00026763593092363,0
" ",411,1,-0.00098831542977495,0,0.00073722432522849,0,0.00018386388435545,0
" ",415,1,-0.00038277298838475,0,0.00030878111575986,0,1.8454505063583E-17,0
" ",419,1,-0.0002580685251292,0,-4.3591815658895E-5,0,0.00016541835209595,0
" ",423,1,-0.00037874974104137,0,-0.00014059478503834,0,0.0002166126318122,0
" ",427,1,-0.00057039305494518,0,-0.00022168193153181,0,-0.0003865109964264,0
" ",431,1,-0.00094501240460011,0,-0.0004626368787277,0,-0.0012935084896993,0
" ",435,1,-0.001595840073423,0,-0.0006505571235446,0,-0.0015544456876687,0
" ",439,1,-0.0022683237712108,0,-0.00047007098685934,0,-0.00084769597766001,0
" ",443,1,-0.0025405812389549,0,2.1062046639273E-6,0,-4.6391928623882E-5,0
